REF;DESIGN;POIDS;UNITE;CATEGORIE;PRIX;ECOTAXE;NOTE;SCORE;IMAGE;URL
BLA5;C/C BLACK STAR ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;ACCESSOIRE;365.360000;0.300000;A;https://sevetys.fr/_next/image/?url=https%3A%2F%2Fcharming-angel-5ca83bf286.media.strapiapp.com%2FChat_europeen_573af6e71d.webp&w=1920&q=75
BLACKSTAR25;C/C BLACK STAR 60 ROULEAU - 1.40x5m - Ep.25mm;28.750000;3;CCRLX;365.360000;0.300000;NULL;NULL
BLACKSTART25;C/C BLACK STAR ROULEAU TOILE - 1.40x5m - Ep.25mm;28.750000;3;CCRLX;378.410000;0.300000;NULL;NULL
BLACKSTART6;C/C BLACK STAR ROULEAU TOILE - 1.40x10m - Ep.6mm;6.900000;3;CCRLX;124.310000;0.300000;0.000000;
IDS10150;IDS10 ROULEAU - 1.50 x50m - Ep.10mm;14.000000;3;CCRLX;93.820000;0.300000;NULL;NULL
IDS10180;IDS10 ROULEAU - 1.80 x50m - Ep.10mm;14.000000;3;CCRLX;93.820000;0.300000;NULL;NULL
IDS6200;IDS6 ROULEAU - 2x50m - Ep.6mm;8.400000;3;CCRLX;63.850000;0.300000;NULL;NULL
STRIE10;STRIE10 TAPIS D'ETABLE - 2x1m - Ep.10mm;26.500000;1;CCTAPIS;152.160000;0.018000;NULL;NULL
DOUBLECLIP;DALLE CLIP 2000mm X 1047mm ep 17mm ;22.150000;3;CCDAL;98.400000;0.300000;NULL;NULL
ETAB120110;TAPIS D'ETABLE 1.20X1.10 M;26.400000;1;CCTAPIS;103.310000;0.018000;NULL;NULL
ETAB12050;TAPIS D'ETABLE 1.20 X 0.50 M;12.000000;1;CCTAPIS;51.540000;0.018000;NULL;NULL
M100;M100 TAPIS D'ETABLE CLASSIQUE - 1000X1650mm - Ep.17mm;36.360000;1;CCTAPIS;132.780000;0.018000;NULL;NULL
M101;M101 TAPIS D'ETABLE CLASSIQUE - 1000X1750mm - Ep.17mm;38.570000;1;CCTAPIS;140.820000;0.018000;NULL;NULL
M102;M102 TAPIS D'ETABLE CLASSIQUE - 1000X1850mm - Ep.17mm;40.770000;1;CCTAPIS;148.870000;0.018000;NULL;NULL
M103;M103 TAPIS D'ETABLE CLASSIQUE - 1000X2000mm - Ep.17mm;44.080000;1;CCTAPIS;160.950000;0.018000;NULL;NULL
M105;M105 TAPIS D'ETABLE CLASSIQUE - 1100X1650mm - Ep.17mm;40.000000;1;CCTAPIS;146.060000;0.018000;NULL;NULL
M106;M106 TAPIS D'ETABLE CLASSIQUE - 1100X1750mm - Ep.17mm;42.420000;1;CCTAPIS;154.910000;0.018000;NULL;NULL
M107;M107 TAPIS D'ETABLE CLASSIQUE - 1100X1850mm - Ep.17mm;44.850000;1;CCTAPIS;163.760000;0.018000;NULL;NULL
M108;M108 TAPIS D'ETABLE CLASSIQUE - 1100X2000mm - Ep.17mm;48.480000;1;CCTAPIS;177.040000;0.018000;NULL;NULL
M109;M109 TAPIS D'ETABLE CLASSIQUE - 1100X2200mm - Ep.17mm;53.330000;1;CCTAPIS;194.740000;0.018000;NULL;NULL
M110;M110 TAPIS D'ETABLE CLASSIQUE - 1200X1650mm - Ep.17mm;43.640000;1;CCTAPIS;159.330000;0.018000;NULL;NULL
M111;M111 TAPIS D'ETABLE CLASSIQUE - 1200X1750mm - Ep.17mm;46.280000;1;CCTAPIS;169.000000;0.018000;NULL;NULL
M112;M112 TAPIS D'ETABLE CLASSIQUE - 1200X1850mm - Ep.17mm;48.930000;1;CCTAPIS;178.650000;0.018000;NULL;NULL
M113;M113 TAPIS D'ETABLE CLASSIQUE - 1200X2000mm - Ep.17mm;52.890000;1;CCTAPIS;193.140000;0.018000;NULL;NULL
M114;M114 TAPIS D'ETABLE CLASSIQUE - 1200X2200mm - Ep.17mm;58.180000;1;CCTAPIS;212.450000;0.018000;NULL;NULL
M115;M115 TAPIS D'ETABLE CLASSIQUE - 1000X1500mm - Ep.17mm;33.060000;1;CCTAPIS;120.710000;0.018000;NULL;NULL
PROFILE_T;PROFILE EN T LONGUEUR 1.80;5.000000;1;CCACCESS;46.460000;0.000000;NULL;NULL
QUIETA1150DROIT;QUIETA TAPIS D'ETABLE BORDS DROITS - 115x185cm - Ep.30mm;40.000000;1;CCTAPIS;201.730000;0.018000;NULL;NULL
QUIETA1250CLIP;QUIETA TAPIS D'ETABLE INDIVIDUEL CLIPSABLE 1250*1850 ép 30 mm;50.000000;1;CCTAPIS;219.310000;0.018000;NULL;NULL
ERGO_D_ANGLE_EXT_J;ERGODECK ANGLE EXTERIEUR JAUNE - 15.2x38.1cm - Ep.22mm ;0.980000;1;PLATAPIS;98.330000;0.036000;0.000000;
ERGO_D_ANGLE_J;ERGODECK ANGLE INTERIEUR JAUNE - 15.2x22.9cm - Ep.22mm;1.400000;1;PLATAPIS;96.850000;0.036000;NULL;NULL
ERGO_D_RAMP_J;ERGODECK RAMPE DE SECURITE JAUNE - 15.2x45.7cm - Ep.22mm ;0.820000;1;PLATAPIS;31.300000;0.036000;NULL;NULL
ERGO_D560_FO_BK;ERGODECK DALLE 560 FOND OUVERT NOIR - 45.7x45.7cm - Ep.22mm;2.300000;1;PLATAPIS;72.640000;0.036000;NULL;NULL
ERGO_D563_FF_BK;ERGODECK DALLE 563 FOND FERME + GRIP NOIR - 45.7x45.7cm - Ep.22mm;2.440000;1;PLATAPIS;120.110000;0.036000;NULL;NULL
M90BY01;M90 TAPIS ANTIFATIGUE CONNECTABLE 2 COTES NOIR/JAUNE 79x71cm -Ep.11mm;5.660000;1;CCTAPIS;40.910000;0.460000;0.000000;
M90BY03;M90 TAPIS ANTIFATIGUE CONNECTABLE 1 COTE NOIR/JAUNE -79x71cm -Ep.11mm;5.600000;1;CCTAPIS;40.910000;0.460000;NULL;NULL
MB45;MB45 CAILLEBOTIS CONNECTABLE NOIR - 91x91cm - Ep.14.5mm;7.320000;1;CCTAPIS;31.600000;0.018000;NULL;NULL
MB45PR;MB45 CAILLEBOTIS CONNECTABLE NITRILE ROUGE - 91x91cm - Ep.14.5mm;8.300000;1;CCTAPIS;45.330000;0.018000;NULL;NULL
MB46;MB46 DALLE CONNECTABLE - 91x91cm - Ep.14.5mm;7.900000;1;CCTAPIS;36.630000;0.460000;NULL;NULL
MB46PR;MB46 DALLE CONNECTABLE NITRILE ROUGE - 91x91cm - Ep.14.5mm;8.240000;1;CCDAL;54.430000;0.460000;NULL;NULL
MPB80;MPB80 TAPIS ERGONOMIQUE C/C NITRILE NOIR - 30x80cm - Ep.16mm ;2.680000;1;CCTAPIS;72.800000;0.190000;NULL;NULL
MPB82;MPB82 TAPIS ERGONOMIQUE C/C NITRILE NOIR - 60x90cm - Ep.16mm ;5.340000;1;CCTAPIS;142.100000;0.460000;NULL;NULL
